"geneID","PH6WC_XY335","PH4CVvsXY335","PH4CVvsPH6WC","RIL335"
"Zm00001d002216",0,0,1,0
"Zm00001d002221",1,0,1,1
"Zm00001d002225",0,0,0,1
"Zm00001d002228",1,0,1,1
"Zm00001d002231",0,0,1,1
"Zm00001d002232",0,0,1,1
"Zm00001d002235",0,0,0,1
"Zm00001d002241",0,1,0,0
"Zm00001d002243",0,0,0,1
"Zm00001d002252",1,0,0,1
"Zm00001d002256",0,0,0,1
"Zm00001d002258",0,0,0,1
"Zm00001d002261",0,1,0,0
"Zm00001d002267",1,0,0,0
"Zm00001d002271",0,0,0,1
"Zm00001d002272",0,1,0,0
"Zm00001d002278",0,0,0,1
"Zm00001d002283",1,0,1,1
"Zm00001d002285",0,0,0,1
"Zm00001d002287",0,0,0,1
"Zm00001d002290",0,0,0,1
"Zm00001d002292",1,0,0,0
"Zm00001d002295",1,0,0,1
"Zm00001d002299",1,0,1,1
"Zm00001d002302",1,1,1,0
"Zm00001d002304",0,0,0,1
"Zm00001d002307",0,1,1,1
"Zm00001d002314",0,0,0,1
"Zm00001d002316",0,0,0,1
"Zm00001d002317",0,0,0,1
"Zm00001d002320",0,0,0,1
"Zm00001d002323",0,1,0,1
"Zm00001d002330",0,0,1,0
"Zm00001d002333",1,0,1,0
"Zm00001d002338",1,0,0,1
"Zm00001d002341",0,1,0,0
"Zm00001d002344",1,1,1,0
"Zm00001d002345",1,1,0,0
"Zm00001d002346",0,0,0,1
"Zm00001d002349",1,0,1,0
"Zm00001d002351",1,1,1,1
"Zm00001d002352",0,1,1,0
"Zm00001d002356",1,0,0,0
"Zm00001d002359",0,0,0,1
"Zm00001d002362",1,1,0,0
"Zm00001d002366",0,0,0,1
"Zm00001d002371",1,0,0,0
"Zm00001d002372",1,1,1,0
"Zm00001d002374",0,0,0,1
"Zm00001d002377",0,1,1,0
"Zm00001d002381",0,1,0,0
"Zm00001d002384",1,1,0,0
"Zm00001d002385",0,0,0,1
"Zm00001d002386",1,0,0,0
"Zm00001d002391",1,0,0,0
"Zm00001d002393",0,0,0,1
"Zm00001d002395",1,1,0,0
"Zm00001d002405",1,0,1,1
"Zm00001d002408",0,0,0,1
"Zm00001d002410",1,1,1,0
"Zm00001d002411",0,1,1,0
"Zm00001d002412",0,0,1,1
"Zm00001d002418",1,0,0,0
"Zm00001d002423",1,1,0,0
"Zm00001d002428",0,0,0,1
"Zm00001d002429",0,0,0,1
"Zm00001d002434",0,1,1,1
"Zm00001d002435",0,0,0,1
"Zm00001d002436",0,1,1,0
"Zm00001d002440",0,0,0,1
"Zm00001d002441",0,0,0,1
"Zm00001d002444",0,0,0,1
"Zm00001d002446",1,1,1,1
"Zm00001d002447",0,0,0,1
"Zm00001d002451",0,0,1,0
"Zm00001d002456",0,1,0,0
"Zm00001d002457",0,0,0,1
"Zm00001d002462",0,0,1,0
"Zm00001d002475",0,1,0,0
"Zm00001d002478",1,0,0,0
"Zm00001d002482",0,0,0,1
"Zm00001d002483",0,0,0,1
"Zm00001d002490",1,1,0,0
"Zm00001d002491",0,0,0,1
"Zm00001d002500",1,0,0,0
"Zm00001d002501",1,0,0,0
"Zm00001d002503",0,0,0,1
"Zm00001d002504",1,0,1,1
"Zm00001d002511",0,0,0,1
"Zm00001d002514",1,0,1,0
"Zm00001d002521",0,0,0,1
"Zm00001d002522",0,0,1,0
"Zm00001d002523",1,0,0,0
"Zm00001d002530",0,1,1,0
"Zm00001d002532",0,1,1,0
"Zm00001d002534",0,0,0,1
"Zm00001d002535",0,0,0,1
"Zm00001d002536",0,0,0,1
"Zm00001d002537",0,1,0,0
"Zm00001d002538",1,1,1,0
"Zm00001d002540",1,1,1,1
"Zm00001d002541",0,1,1,0
"Zm00001d002544",0,0,0,1
"Zm00001d002545",0,1,0,0
"Zm00001d002547",0,0,0,1
"Zm00001d002548",0,1,1,1
"Zm00001d002549",1,0,1,0
"Zm00001d002550",1,1,0,1
"Zm00001d002551",0,0,1,1
"Zm00001d002558",1,0,0,0
"Zm00001d002570",0,0,1,0
"Zm00001d002572",1,0,1,0
"Zm00001d002573",1,0,0,0
